,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,weightdecay,epoch,train loss,train error,test error
0,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,22,10,23,1e-08,1.0,0.6744899999999999,0,2887,3183.379150390625,0.36328125,0.6200000047683716
1,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,22,10,24,1e-08,1.0,0.6744899999999999,0,2614,3183.4609375,0.3635416626930237,0.6000000238418579
2,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,22,10,25,1e-08,1.0,0.6744899999999999,0,3242,3183.059326171875,0.3658854067325592,0.6000000238418579
3,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,4442,3183.37744140625,0.3645833432674408,0.6200000047683716
4,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,3527,3183.072509765625,0.36510416865348816,0.6000000238418579
5,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,2969,3183.4375,0.3635416626930237,0.6000000238418579
6,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,5296,3183.03759765625,0.3656249940395355,0.6000000238418579
7,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,6447,4522.26416015625,0.5861979126930237,1.1200000047683716
8,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,22,10,31,1e-08,1.0,0.6744899999999999,0,2921,3183.38427734375,0.3643229305744171,0.6000000238418579
9,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,22,10,32,1e-08,1.0,0.6744899999999999,0,4818,4516.04248046875,0.573437511920929,1.0800000429153442
0,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,5699,2950.61669921875,0.3582589328289032,0.6200000047683716
1,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,5253,2950.421875,0.3588169515132904,0.6000000238418579
2,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,2601,2950.274169921875,0.3602120578289032,0.6200000047683716
3,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,4371,2951.5478515625,0.359375,0.5799999833106995
4,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,12042,2950.654296875,0.3579799234867096,0.6200000047683716
5,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,3726,2950.4736328125,0.3621651828289032,0.6000000238418579
6,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,7353,2950.831787109375,0.3596540093421936,0.6000000238418579
7,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,4619,4147.3076171875,0.5552455186843872,1.2599999904632568
8,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,4582,2950.42138671875,0.3599330484867096,0.6000000238418579
9,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,6080,4187.0751953125,0.5725446343421936,1.0800000429153442
0,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,4616,4555.998046875,0.5895833373069763,1.0199999809265137
1,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,4773,3199.82470703125,0.3713541626930237,0.4399999976158142
2,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,3712,3200.78857421875,0.37187498807907104,0.4399999976158142
3,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,4036,3200.40087890625,0.3713541626930237,0.4399999976158142
4,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,4003,3200.41552734375,0.3726562559604645,0.4399999976158142
5,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,2931,3200.750244140625,0.37109375,0.4399999976158142
6,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,3152,3200.18408203125,0.37187498807907104,0.4399999976158142
7,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,4563,3200.162109375,0.3713541626930237,0.4399999976158142
8,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,4240,3199.931396484375,0.3721354305744171,0.4399999976158142
9,gd,symmetric-door,logloss,7.5,1024,1,7680,0.01,0.0,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,4176,3199.846435546875,0.37109375,0.4399999976158142
0,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,22,10,23,1e-08,1.0,0.6744899999999999,0,3430,2947.107666015625,0.3585379421710968,0.5400000214576721
1,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,22,10,24,1e-08,1.0,0.6744899999999999,0,5242,4143.4990234375,0.5608258843421936,0.7400000095367432
2,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,22,10,25,1e-08,1.0,0.6744899999999999,0,3620,2946.842041015625,0.3557477593421936,0.5400000214576721
3,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,3252,2946.85546875,0.3560267984867096,0.5400000214576721
4,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,4385,2947.1103515625,0.3579799234867096,0.5400000214576721
5,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,5221,2946.822265625,0.3560267984867096,0.5400000214576721
6,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,4102,2946.82666015625,0.3557477593421936,0.5400000214576721
7,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,4472,2946.819091796875,0.3563058078289032,0.5400000214576721
8,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,22,10,31,1e-08,1.0,0.6744899999999999,0,3837,2946.86474609375,0.3557477593421936,0.5400000214576721
9,gd,symmetric-door,logloss,7.0,1024,1,7168,0.01,0.0,False,2000,100,22,10,32,1e-08,1.0,0.6744899999999999,0,4373,2947.119873046875,0.3585379421710968,0.5400000214576721
0,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,23,1e-08,1.0,0.6744899999999999,0,5437,262.62847900390625,0.0,0.9200000166893004
1,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,24,1e-08,1.0,0.6744899999999999,0,6778,252.9881896972656,0.0,0.8199999928474426
2,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,25,1e-08,1.0,0.6744899999999999,0,5956,260.868408203125,0.0,0.8399999737739563
3,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,6357,250.8798065185547,0.0,0.8799999952316284
4,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,6477,257.6513061523437,0.0,0.8600000143051147
5,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,4966,262.88125610351557,0.0,0.8799999952316284
6,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,4591,267.79031372070307,0.0,0.8399999737739563
7,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,5636,264.80865478515625,0.0,0.9200000166893004
8,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,31,1e-08,1.0,0.6744899999999999,0,5468,265.35400390625,0.0,0.8799999952316284
9,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,32,1e-08,1.0,0.6744899999999999,0,4982,260.34689331054693,0.0,0.8000000119209291
0,gd,symmetric-door,logloss,1.5,1024,1,1536,0.01,0.0,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,20002,467.0469055175781,0.1145833358168602,1.0199999809265137
1,gd,symmetric-door,logloss,1.5,1024,1,1536,0.01,0.0,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,20002,511.4153137207031,0.1549479216337204,0.8999999761581421
2,gd,symmetric-door,logloss,1.5,1024,1,1536,0.01,0.0,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,20002,513.847412109375,0.16796875,1.0199999809265137
3,gd,symmetric-door,logloss,1.5,1024,1,1536,0.01,0.0,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,20002,506.2151184082031,0.1380208283662796,0.959999978542328
4,gd,symmetric-door,logloss,1.5,1024,1,1536,0.01,0.0,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,20002,552.8643798828125,0.1875,0.9800000190734864
5,gd,symmetric-door,logloss,1.5,1024,1,1536,0.01,0.0,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,20002,530.4512939453125,0.1822916716337204,1.0599999427795408
6,gd,symmetric-door,logloss,1.5,1024,1,1536,0.01,0.0,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,20002,513.0704345703125,0.171875,1.0399999618530271
7,gd,symmetric-door,logloss,1.5,1024,1,1536,0.01,0.0,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,20002,477.35430908203125,0.1328125,1.0599999427795408
8,gd,symmetric-door,logloss,1.5,1024,1,1536,0.01,0.0,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,20002,504.4194030761719,0.16015625,1.0399999618530271
9,gd,symmetric-door,logloss,1.5,1024,1,1536,0.01,0.0,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,20002,528.3709106445311,0.1640625,1.0
0,gd,symmetric-door,logloss,2.0,1024,1,2048,0.01,0.0,False,2000,100,22,10,23,1e-08,1.0,0.6744899999999999,0,18629,848.9000244140625,0.296875,1.0399999618530271
1,gd,symmetric-door,logloss,2.0,1024,1,2048,0.01,0.0,False,2000,100,22,10,24,1e-08,1.0,0.6744899999999999,0,17347,847.34033203125,0.2880859375,1.1200000047683716
2,gd,symmetric-door,logloss,2.0,1024,1,2048,0.01,0.0,False,2000,100,22,10,25,1e-08,1.0,0.6744899999999999,0,13866,872.0305786132812,0.296875,1.0800000429153442
3,gd,symmetric-door,logloss,2.0,1024,1,2048,0.01,0.0,False,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,17187,868.7013549804688,0.314453125,1.0399999618530271
4,gd,symmetric-door,logloss,2.0,1024,1,2048,0.01,0.0,False,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,11893,884.5718994140625,0.2998046875,1.1399999856948853
5,gd,symmetric-door,logloss,2.0,1024,1,2048,0.01,0.0,False,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,18964,840.42529296875,0.2880859375,1.0199999809265137
6,gd,symmetric-door,logloss,2.0,1024,1,2048,0.01,0.0,False,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,16406,882.02880859375,0.314453125,1.0
7,gd,symmetric-door,logloss,2.0,1024,1,2048,0.01,0.0,False,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,20002,857.344970703125,0.2919921875,0.959999978542328
8,gd,symmetric-door,logloss,2.0,1024,1,2048,0.01,0.0,False,2000,100,22,10,31,1e-08,1.0,0.6744899999999999,0,15553,864.3734741210938,0.2978515625,0.959999978542328
9,gd,symmetric-door,logloss,2.0,1024,1,2048,0.01,0.0,False,2000,100,22,10,32,1e-08,1.0,0.6744899999999999,0,15389,913.1422119140624,0.330078125,1.0
0,gd,symmetric-door,logloss,0.5,1024,1,512,0.01,0.0,False,2000,100,22,10,23,1e-08,1.0,0.6744899999999999,0,795,158.76165771484375,0.0,1.0
1,gd,symmetric-door,logloss,0.5,1024,1,512,0.01,0.0,False,2000,100,22,10,24,1e-08,1.0,0.6744899999999999,0,740,160.41275024414062,0.0,0.9399999976158142
2,gd,symmetric-door,logloss,0.5,1024,1,512,0.01,0.0,False,2000,100,22,10,25,1e-08,1.0,0.6744899999999999,0,1000,154.98495483398438,0.0,0.8999999761581421
3,gd,symmetric-door,logloss,0.5,1024,1,512,0.01,0.0,False,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,1060,146.27133178710938,0.0,1.0399999618530271
4,gd,symmetric-door,logloss,0.5,1024,1,512,0.01,0.0,False,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,738,163.0525360107422,0.0,1.0
5,gd,symmetric-door,logloss,0.5,1024,1,512,0.01,0.0,False,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,771,161.1179656982422,0.0,0.8999999761581421
6,gd,symmetric-door,logloss,0.5,1024,1,512,0.01,0.0,False,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,828,153.54225158691406,0.0,1.0399999618530271
7,gd,symmetric-door,logloss,0.5,1024,1,512,0.01,0.0,False,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,974,148.0289306640625,0.0,0.8799999952316284
8,gd,symmetric-door,logloss,0.5,1024,1,512,0.01,0.0,False,2000,100,22,10,31,1e-08,1.0,0.6744899999999999,0,663,163.90101623535156,0.0,0.8799999952316284
9,gd,symmetric-door,logloss,0.5,1024,1,512,0.01,0.0,False,2000,100,22,10,32,1e-08,1.0,0.6744899999999999,0,832,157.6907958984375,0.0,0.9200000166893004
0,gd,symmetric-door,logloss,6.0,1024,1,6144,0.01,0.0,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,5060,2540.062255859375,0.3359375,0.5
1,gd,symmetric-door,logloss,6.0,1024,1,6144,0.01,0.0,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,5647,2540.735595703125,0.3424479067325592,0.5
2,gd,symmetric-door,logloss,6.0,1024,1,6144,0.01,0.0,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,4611,2540.43408203125,0.3365885317325592,0.479999989271164
3,gd,symmetric-door,logloss,6.0,1024,1,6144,0.01,0.0,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,8487,2539.99365234375,0.3434244692325592,0.479999989271164
4,gd,symmetric-door,logloss,6.0,1024,1,6144,0.01,0.0,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,4132,2540.52783203125,0.3430989682674408,0.5
5,gd,symmetric-door,logloss,6.0,1024,1,6144,0.01,0.0,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,4731,2541.17529296875,0.3404947817325592,0.5199999809265137
6,gd,symmetric-door,logloss,6.0,1024,1,6144,0.01,0.0,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,8363,2540.001953125,0.3382161557674408,0.5
7,gd,symmetric-door,logloss,6.0,1024,1,6144,0.01,0.0,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,5387,2540.134033203125,0.3401692807674408,0.5
8,gd,symmetric-door,logloss,6.0,1024,1,6144,0.01,0.0,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,4725,2540.73388671875,0.341796875,0.479999989271164
9,gd,symmetric-door,logloss,6.0,1024,1,6144,0.01,0.0,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,3492,3526.11328125,0.5426432490348816,1.100000023841858
0,gd,symmetric-door,logloss,3.0,1024,1,3072,0.01,0.0,False,2000,100,22,10,23,1e-08,1.0,0.6744899999999999,0,6128,1499.19384765625,0.3821614682674408,1.0399999618530271
1,gd,symmetric-door,logloss,3.0,1024,1,3072,0.01,0.0,False,2000,100,22,10,24,1e-08,1.0,0.6744899999999999,0,6522,1498.126708984375,0.4075520932674408,1.0399999618530271
2,gd,symmetric-door,logloss,3.0,1024,1,3072,0.01,0.0,False,2000,100,22,10,25,1e-08,1.0,0.6744899999999999,0,5796,1486.2132568359375,0.3912760317325592,0.7599999904632568
3,gd,symmetric-door,logloss,3.0,1024,1,3072,0.01,0.0,False,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,13642,1494.467041015625,0.3919270932674408,0.9399999976158142
4,gd,symmetric-door,logloss,3.0,1024,1,3072,0.01,0.0,False,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,11338,1502.78955078125,0.4173177182674408,0.8600000143051147
5,gd,symmetric-door,logloss,3.0,1024,1,3072,0.01,0.0,False,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,6581,1518.993408203125,0.4016927182674408,0.8399999737739563
6,gd,symmetric-door,logloss,3.0,1024,1,3072,0.01,0.0,False,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,5118,1521.100341796875,0.4010416567325592,1.0599999427795408
7,gd,symmetric-door,logloss,3.0,1024,1,3072,0.01,0.0,False,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,13857,1515.595703125,0.3743489682674408,0.8000000119209291
8,gd,symmetric-door,logloss,3.0,1024,1,3072,0.01,0.0,False,2000,100,22,10,31,1e-08,1.0,0.6744899999999999,0,8626,1534.156005859375,0.4127604067325592,1.100000023841858
9,gd,symmetric-door,logloss,3.0,1024,1,3072,0.01,0.0,False,2000,100,22,10,32,1e-08,1.0,0.6744899999999999,0,6119,1522.9676513671875,0.427734375,0.9200000166893004
0,gd,symmetric-door,logloss,4.5,1024,1,4608,0.01,0.0,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,4514,2497.982177734375,0.4822048544883728,0.7599999904632568
1,gd,symmetric-door,logloss,4.5,1024,1,4608,0.01,0.0,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,5832,2518.831787109375,0.4743923544883728,1.0
2,gd,symmetric-door,logloss,4.5,1024,1,4608,0.01,0.0,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,9170,2480.421142578125,0.4756944477558136,1.0599999427795408
3,gd,symmetric-door,logloss,4.5,1024,1,4608,0.01,0.0,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,6028,2491.95947265625,0.4696180522441864,1.0
4,gd,symmetric-door,logloss,4.5,1024,1,4608,0.01,0.0,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,4871,2509.223876953125,0.4778645932674408,1.0800000429153442
5,gd,symmetric-door,logloss,4.5,1024,1,4608,0.01,0.0,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,8166,2459.73291015625,0.4752604067325592,0.8999999761581421
